2.976957614975745958e-01	2.972757933115718343e-01	2.971774868290834037e-01	2.974051411705788128e-01	2.975503201436514589e-01
2.969186544418335183e-01	2.963479098647531784e-01	2.782489844042845273e-01	2.963421003987091185e-01	2.948243118295765797e-01
2.954253614550889084e-01	2.957416848702864032e-01	2.771350154973039603e-01	2.956460695074062395e-01	2.914831834610062122e-01
2.763711208044880574e-01	2.763251345567028783e-01	2.765754714156641869e-01	2.954882886674669029e-01	2.889052991915231350e-01
2.752366412769663984e-01	2.751704990261732986e-01	2.761529794847122354e-01	2.950908618743973699e-01	2.886711085685575440e-01
2.748481697506374721e-01	2.751102460755242562e-01	2.759523035299898397e-01	2.946810744025490370e-01	2.862795909245808845e-01
2.744197525159277062e-01	2.749032162656687706e-01	2.758378533401874000e-01	2.754873987400170976e-01	2.841423810130417893e-01
2.744014721928221268e-01	2.746249739569847081e-01	2.757152232256802060e-01	2.750985359904741800e-01	2.800837543275621067e-01
2.743971057612486497e-01	2.746249739569847081e-01	2.754451637316231993e-01	2.747838446588227179e-01	2.795019895139366772e-01
2.743971057612486497e-01	2.745099360292608259e-01	2.747733886795814540e-01	2.747057932795900492e-01	2.771673550509442530e-01
2.743971057612486497e-01	2.744956938907353594e-01	2.746056817998789312e-01	2.745895265328763823e-01	2.751498217534537050e-01
